Category,Question,Correct,Choice,Choice,Choice
Action Movie One Liners,"""Good. Bad. I'm the guy with the gun.""",Army of Darkness,They Live,Lawnmower Man,Deep Rising
Action Movie One Liners,"""No Ticket""",Indiana Jones and the Last Crusade,The Rock,GoldenEye,The Hunt for Red October
Action Movie One Liners,"""Get off my plane!""",Air Force One,Clear and Present Danger,Enemy of the State,Patriot Games
Action Movie One Liners,"""I live to see you eat that contract..but I hope you save enough room for my fist because I'm going to ram it into your God Damn stomach and break your God Damn spine!""",Running Man,Aliens,Pitch Black,Death Race
Action Movie One Liners,"""Dead or alive...you're coming with me""",RoboCop,Timecop,Hard Boiled,Face/Off
Action Movie One Liners,"I'm gonna take you to the bank, Senator Trent --to the blood bank!",Hard to Kill,Universal Soldier,Suburban Commando,The Rundown
Action Movie One Liners,You're a disease… And I'm the cure.,Cobra,Dr. McNinja,The Fugitive,Judge Dredd
Action Movie One Liners,Always bet on black.,Passenger 57,Shaft,Blackula,Casino Royale
Action Movie One Liners,I ain't got time to bleed.,Predator,Roadhouse,Point Break,Face/Off
Action Movie One Liners,Welcome to earth,Independence Day,Mars Attack,District 9,Cloverfield
Brewery Locations,Anchor,San Francisco CA,Patchogue NY,Temecula CA,San Diego CA
Brewery Locations,Sam Adams,Boston MA,Worcester MA,Portland ME,Portsmouth NH
Brewery Locations,Yuengling,Pottsville PA,Selinsgrove PA,South Range MI,Big Bear Lake CA
Brewery Locations,Dogfish Head ,Milton DE,Portsmouth OH,Portland OR,Topeka KS
Brewery Locations,Magic Hat,South Burlington VT,Middletown RI,Wichita KS,Cooperstown NY
Brewery Locations,Cigar City,Tampa FL,Peoria IL,Fort Bragg CA,Portland ME
Brewery Locations,Ommegang,Cooperstown NY,Newport News VA,Baton Rouge LA,Algona IA
Brewery Locations,Long Trail,Bridgewater Corners VE,Moreno Valley CA,Naperville IL,Athens-Clarke GA
Brewery Locations,Sierra Nevada,Chico CA,Seattle WA,Arvada CO,Lowell MA
Brewery Locations,Rogue,Newport OR,El Paso TX,San Bernardino CA,Anchorage AK
